"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
1,"1","2025-01-23T16:19:34.426404Z",340,"[{""start"":0,""end"":5,""text"":""तुरंत"",""labels"":[""ADV""]},{""start"":6,""end"":12,""text"":""सुनवाई"",""labels"":[""NOUN""]},{""start"":13,""end"":15,""text"":""के"",""labels"":[""ADP""]},{""start"":16,""end"":20,""text"":""लिए "",""labels"":[""ADP""]},{""start"":20,""end"":30,""text"":""Executive "",""labels"":[""ADJ""]},{""start"":30,""end"":36,""text"":""powers"",""labels"":[""NOUN""]},{""start"":37,""end"":40,""text"":""के "",""labels"":[""ADP""]},{""start"":40,""end"":44,""text"":""साथ "",""labels"":[""ADP""]},{""start"":44,""end"":60,""text"":""Central Consumer"",""labels"":[""ADJ""]},{""start"":61,""end"":81,""text"":""Protection Authority"",""labels"":[""NOUN""]},{""start"":82,""end"":85,""text"":""का "",""labels"":[""ADP""]},{""start"":85,""end"":88,""text"":""गठन"",""labels"":[""NOUN""]},{""start"":89,""end"":92,""text"":""भी "",""labels"":[""ADV""]},{""start"":92,""end"":97,""text"":""किया "",""labels"":[""VERB""]},{""start"":97,""end"":102,""text"":""जाएगा"",""labels"":[""VERB""]},{""start"":102,""end"":103,""text"":""।"",""labels"":[""X""]}]",790.1379999999999,"तुरंत सुनवाई के लिए Executive powers के साथ Central Consumer Protection Authority का गठन भी किया जाएगा।","2025-01-23T16:27:37.363218Z"
2,"1","2025-01-23T16:24:55.221898Z",341,"[{""start"":0,""end"":8,""text"":""Digital "",""labels"":[""ADJ""]},{""start"":8,""end"":13,""text"":""India"",""labels"":[""PROPN""]},{""start"":13,""end"":14,""text"":"","",""labels"":[""X""]},{""start"":15,""end"":26,""text"":""आत्मनिर्भर "",""labels"":[""ADJ""]},{""start"":26,""end"":31,""text"":""भारत "",""labels"":[""PROPN""]},{""start"":31,""end"":34,""text"":""की "",""labels"":[""ADP""]},{""start"":34,""end"":40,""text"":""साधना "",""labels"":[""NOUN""]},{""start"":40,""end"":42,""text"":""है"",""labels"":[""VERB""]},{""start"":42,""end"":43,""text"":"","",""labels"":[""X""]},{""start"":44,""end"":52,""text"":""Digital "",""labels"":[""ADJ""]},{""start"":52,""end"":57,""text"":""India"",""labels"":[""PROPN""]},{""start"":57,""end"":58,""text"":"","",""labels"":[""X""]},{""start"":58,""end"":64,""text"":"" 21वीं"",""labels"":[""NUM""]},{""start"":65,""end"":69,""text"":""सदी "",""labels"":[""NOUN""]},{""start"":73,""end"":79,""text"":""सशक्त "",""labels"":[""ADJ""]},{""start"":79,""end"":84,""text"":""होते "",""labels"":[""VERB""]},{""start"":84,""end"":89,""text"":""भारत "",""labels"":[""PROPN""]},{""start"":89,""end"":92,""text"":""का "",""labels"":[""ADP""]},{""start"":92,""end"":95,""text"":""एक "",""labels"":[""DET""]},{""start"":95,""end"":101,""text"":""जयघोष "",""labels"":[""NOUN""]},{""start"":101,""end"":103,""text"":""है"",""labels"":[""VERB""]},{""start"":103,""end"":104,""text"":""।"",""labels"":[""X""]},{""start"":69,""end"":73,""text"":""में "",""labels"":[""ADP""]}]",313.99899999999997,"Digital India, आत्मनिर्भर भारत की साधना है, Digital India, 21वीं सदी में सशक्त होते भारत का एक जयघोष है।","2025-01-23T17:14:23.866011Z"
3,"1","2025-01-23T16:42:13.378509Z",342,"[{""start"":5,""end"":9,""text"":""लिए "",""labels"":[""ADP""]},{""start"":9,""end"":18,""text"":""National "",""labels"":[""ADJ""]},{""start"":18,""end"":26,""text"":""Digital "",""labels"":[""ADJ""]},{""start"":44,""end"":48,""text"":""तहत "",""labels"":[""ADP""]},{""start"":48,""end"":51,""text"":""एक "",""labels"":[""DET""]},{""start"":51,""end"":59,""text"":""प्रभावी "",""labels"":[""ADJ""]},{""start"":59,""end"":70,""text"":""प्लेटफॉर्म "",""labels"":[""NOUN""]},{""start"":70,""end"":73,""text"":""पर "",""labels"":[""ADP""]},{""start"":73,""end"":76,""text"":""भी "",""labels"":[""PART""]},{""start"":76,""end"":80,""text"":""काम "",""labels"":[""NOUN""]},{""start"":89,""end"":90,""text"":""।"",""labels"":[""X""]},{""start"":80,""end"":83,""text"":""चल "",""labels"":[""VERB""]},{""start"":83,""end"":87,""text"":""रहा "",""labels"":[""VERB""]},{""start"":87,""end"":89,""text"":""है"",""labels"":[""VERB""]},{""start"":0,""end"":5,""text"":""इसके "",""labels"":[""PROPN""]},{""start"":41,""end"":44,""text"":""के "",""labels"":[""ADP""]},{""start"":26,""end"":33,""text"":""Health "",""labels"":[""NOUN""]},{""start"":33,""end"":41,""text"":""Mission "",""labels"":[""NOUN""]}]",310.51599999999996,"इसके लिए National Digital Health Mission के तहत एक प्रभावी प्लेटफॉर्म पर भी काम चल रहा है।","2025-01-23T17:14:26.233393Z"
4,"1","2025-01-23T16:48:04.922179Z",343,"[{""start"":0,""end"":8,""text"":""श्रीमान "",""labels"":[""PROPN""]},{""start"":8,""end"":14,""text"":""मनसुख "",""labels"":[""PROPN""]},{""start"":14,""end"":18,""text"":""भाई "",""labels"":[""NOUN""]},{""start"":18,""end"":26,""text"":""मांडविया"",""labels"":[""NOUN""]},{""start"":26,""end"":27,""text"":"","",""labels"":[""X""]},{""start"":28,""end"":31,""text"":""वह "",""labels"":[""PRON""]},{""start"":31,""end"":35,""text"":""अभी "",""labels"":[""ADV""]},{""start"":41,""end"":44,""text"":""नए "",""labels"":[""ADJ""]},{""start"":44,""end"":51,""text"":""Health "",""labels"":[""ADJ""]},{""start"":51,""end"":60,""text"":""Minister "",""labels"":[""NOUN""]},{""start"":60,""end"":64,""text"":""बने "",""labels"":[""VERB""]},{""start"":64,""end"":67,""text"":""हैं"",""labels"":[""VERB""]},{""start"":67,""end"":68,""text"":"","",""labels"":[""X""]},{""start"":69,""end"":74,""text"":""उनके "",""labels"":[""PRON""]},{""start"":74,""end"":78,""text"":""साथ "",""labels"":[""ADP""]},{""start"":78,""end"":82,""text"":""MoS "",""labels"":[""NOUN""]},{""start"":82,""end"":85,""text"":""के "",""labels"":[""ADP""]},{""start"":85,""end"":89,""text"":""रूप "",""labels"":[""NOUN""]},{""start"":89,""end"":93,""text"":""में "",""labels"":[""ADP""]},{""start"":93,""end"":96,""text"":""डॉ."",""labels"":[""NOUN""]},{""start"":97,""end"":103,""text"":""भारती "",""labels"":[""PROPN""]},{""start"":103,""end"":108,""text"":""पवार "",""labels"":[""NOUN""]},{""start"":108,""end"":111,""text"":""जी "",""labels"":[""PART""]},{""start"":111,""end"":114,""text"":""भी "",""labels"":[""PART""]},{""start"":114,""end"":119,""text"":""बैठी "",""labels"":[""VERB""]},{""start"":119,""end"":122,""text"":""हैं"",""labels"":[""VERB""]},{""start"":122,""end"":123,""text"":""।"",""labels"":[""X""]},{""start"":35,""end"":41,""text"":""हमारे "",""labels"":[""PRON""]}]",343.32399999999996,"श्रीमान मनसुख भाई मांडविया, वह अभी हमारे नए Health Minister बने हैं, उनके साथ MoS के रूप में डॉ. भारती पवार जी भी बैठी हैं।","2025-01-23T17:14:44.026713Z"
5,"1","2025-01-23T16:54:54.470038Z",344,"[{""start"":0,""end"":4,""text"":""इसी "",""labels"":[""PRON""]},{""start"":4,""end"":10,""text"":""महीने "",""labels"":[""NOUN""]},{""start"":10,""end"":17,""text"":""उन्हें "",""labels"":[""PRON""]},{""start"":17,""end"":23,""text"":""World "",""labels"":[""PROPN""]},{""start"":23,""end"":36,""text"":""Intellectual "",""labels"":[""ADJ""]},{""start"":36,""end"":45,""text"":""Property "",""labels"":[""NOUN""]},{""start"":45,""end"":57,""text"":""Organization"",""labels"":[""NOUN""]},{""start"":57,""end"":58,""text"":"","",""labels"":[""X""]},{""start"":59,""end"":66,""text"":""Geneva "",""labels"":[""PROPN""]},{""start"":66,""end"":69,""text"":""से "",""labels"":[""ADP""]},{""start"":69,""end"":76,""text"":""patent "",""labels"":[""NOUN""]},{""start"":76,""end"":79,""text"":""भी "",""labels"":[""PART""]},{""start"":79,""end"":84,""text"":""मिली "",""labels"":[""VERB""]},{""start"":84,""end"":86,""text"":""है"",""labels"":[""VERB""]},{""start"":86,""end"":87,""text"":""।"",""labels"":[""X""]}]",396.655,"इसी महीने उन्हें World Intellectual Property Organization, Geneva से patent भी मिली है।","2025-01-23T16:54:54.470038Z"
6,"1","2025-01-23T16:57:35.485077Z",345,"[{""start"":0,""end"":10,""text"":""Kaziranga "",""labels"":[""PROPN""]},{""start"":10,""end"":19,""text"":""National "",""labels"":[""ADJ""]},{""start"":19,""end"":24,""text"":""Park "",""labels"":[""NOUN""]},{""start"":24,""end"":26,""text"":""& "",""labels"":[""CONJ""]},{""start"":26,""end"":32,""text"":""Tiger "",""labels"":[""NOUN""]},{""start"":32,""end"":39,""text"":""Reserve"",""labels"":[""NOUN""]},{""start"":40,""end"":49,""text"":""Authority"",""labels"":[""NOUN""]},{""start"":50,""end"":54,""text"":""कुछ "",""labels"":[""PRON""]},{""start"":54,""end"":58,""text"":""समय "",""labels"":[""NOUN""]},{""start"":58,""end"":61,""text"":""से "",""labels"":[""ADP""]},{""start"":61,""end"":68,""text"":""Annual "",""labels"":[""ADJ""]},{""start"":68,""end"":79,""text"":""Waterfowls "",""labels"":[""NOUN""]},{""start"":79,""end"":86,""text"":""Census "",""labels"":[""NOUN""]},{""start"":86,""end"":91,""text"":""करती "",""labels"":[""VERB""]},{""start"":91,""end"":93,""text"":""आ "",""labels"":[""VERB""]},{""start"":93,""end"":97,""text"":""रही "",""labels"":[""VERB""]},{""start"":97,""end"":99,""text"":""है"",""labels"":[""VERB""]},{""start"":99,""end"":100,""text"":""।"",""labels"":[""X""]}]",159.459,"Kaziranga National Park & Tiger Reserve Authority कुछ समय से Annual Waterfowls Census करती आ रही है।","2025-01-23T16:57:35.485077Z"
7,"1","2025-01-23T17:01:36.940820Z",346,"[{""start"":0,""end"":6,""text"":""इनमें "",""labels"":[""PRON""]},{""start"":6,""end"":9,""text"":""से "",""labels"":[""ADP""]},{""start"":9,""end"":12,""text"":""58 "",""labels"":[""NUM""]},{""start"":12,""end"":20,""text"":""Species "",""labels"":[""NOUN""]},{""start"":20,""end"":25,""text"":""यूरोप"",""labels"":[""PROPN""]},{""start"":25,""end"":26,""text"":"","",""labels"":[""X""]},{""start"":27,""end"":35,""text"":""Central "",""labels"":[""ADJ""]},{""start"":35,""end"":40,""text"":""Asia "",""labels"":[""PROPN""]},{""start"":40,""end"":43,""text"":""और "",""labels"":[""CONJ""]},{""start"":43,""end"":48,""text"":""East "",""labels"":[""ADJ""]},{""start"":48,""end"":52,""text"":""Asia"",""labels"":[""PROPN""]},{""start"":53,""end"":58,""text"":""सहित "",""labels"":[""ADP""]},{""start"":58,""end"":65,""text"":""दुनिया "",""labels"":[""NOUN""]},{""start"":65,""end"":68,""text"":""के "",""labels"":[""ADP""]},{""start"":68,""end"":75,""text"":""विभिन्न"",""labels"":[""ADJ""]},{""start"":76,""end"":84,""text"":""हिस्सों "",""labels"":[""NOUN""]},{""start"":84,""end"":87,""text"":""से "",""labels"":[""ADP""]},{""start"":87,""end"":90,""text"":""आए "",""labels"":[""VERB""]},{""start"":90,""end"":97,""text"":""Winter "",""labels"":[""ADJ""]},{""start"":97,""end"":106,""text"":""Migrants "",""labels"":[""NOUN""]},{""start"":106,""end"":109,""text"":""हैं"",""labels"":[""VERB""]},{""start"":109,""end"":110,""text"":""।"",""labels"":[""X""]}]",240.096,"इनमें से 58 Species यूरोप, Central Asia और East Asia सहित दुनिया के विभिन्न हिस्सों से आए Winter Migrants हैं।","2025-01-23T17:01:36.940820Z"
8,"1","2025-01-23T17:06:15.906174Z",347,"[{""start"":0,""end"":5,""text"":""माता "",""labels"":[""NOUN""]},{""start"":5,""end"":16,""text"":""अन्नपूर्णा "",""labels"":[""PROPN""]},{""start"":16,""end"":19,""text"":""की "",""labels"":[""ADP""]},{""start"":19,""end"":27,""text"":""प्रतिमा "",""labels"":[""NOUN""]},{""start"":27,""end"":30,""text"":""की "",""labels"":[""ADP""]},{""start"":30,""end"":36,""text"":""वापसी "",""labels"":[""NOUN""]},{""start"":36,""end"":39,""text"":""के "",""labels"":[""ADP""]},{""start"":39,""end"":42,""text"":""साथ"",""labels"":[""ADP""]},{""start"":42,""end"":43,""text"":"","",""labels"":[""X""]},{""start"":44,""end"":47,""text"":""एक "",""labels"":[""DET""]},{""start"":47,""end"":53,""text"":""संयोग "",""labels"":[""NOUN""]},{""start"":53,""end"":56,""text"":""ये "",""labels"":[""PRON""]},{""start"":56,""end"":59,""text"":""भी "",""labels"":[""PART""]},{""start"":59,""end"":64,""text"":""जुड़ा "",""labels"":[""VERB""]},{""start"":64,""end"":66,""text"":""है"",""labels"":[""VERB""]},{""start"":66,""end"":67,""text"":"","",""labels"":[""X""]},{""start"":68,""end"":70,""text"":""कि"",""labels"":[""CONJ""]},{""start"":70,""end"":71,""text"":"","",""labels"":[""X""]},{""start"":72,""end"":76,""text"":""कुछ "",""labels"":[""DET""]},{""start"":76,""end"":79,""text"":""दिन"",""labels"":[""NOUN""]},{""start"":80,""end"":86,""text"":""पूर्व "",""labels"":[""ADP""]},{""start"":86,""end"":89,""text"":""ही "",""labels"":[""PART""]},{""start"":89,""end"":95,""text"":""World "",""labels"":[""NOUN""]},{""start"":95,""end"":104,""text"":""Heritage "",""labels"":[""NOUN""]},{""start"":104,""end"":109,""text"":""Week "",""labels"":[""NOUN""]},{""start"":109,""end"":115,""text"":""मनाया "",""labels"":[""VERB""]},{""start"":115,""end"":119,""text"":""गया "",""labels"":[""VERB""]},{""start"":121,""end"":122,""text"":""।"",""labels"":[""X""]},{""start"":119,""end"":121,""text"":""है"",""labels"":[""VERB""]}]",182.395,"माता अन्नपूर्णा की प्रतिमा की वापसी के साथ, एक संयोग ये भी जुड़ा है, कि, कुछ दिन पूर्व ही World Heritage Week मनाया गया है।","2025-01-23T17:06:15.906174Z"
9,"1","2025-01-23T17:10:29.665601Z",348,"[{""start"":0,""end"":2,""text"":""अब"",""labels"":[""ADV""]},{""start"":2,""end"":3,""text"":"","",""labels"":[""X""]},{""start"":4,""end"":6,""text"":""आप"",""labels"":[""PRON""]},{""start"":6,""end"":7,""text"":"","",""labels"":[""X""]},{""start"":8,""end"":11,""text"":""घर "",""labels"":[""NOUN""]},{""start"":11,""end"":16,""text"":""बैठे "",""labels"":[""VERB""]},{""start"":16,""end"":23,""text"":""दिल्ली "",""labels"":[""PROPN""]},{""start"":23,""end"":26,""text"":""के "",""labels"":[""ADP""]},{""start"":26,""end"":35,""text"":""National "",""labels"":[""ADJ""]},{""start"":35,""end"":42,""text"":""Museum "",""labels"":[""NOUN""]},{""start"":42,""end"":52,""text"":""galleries "",""labels"":[""NOUN""]},{""start"":52,""end"":55,""text"":""का "",""labels"":[""ADP""]},{""start"":55,""end"":60,""text"":""tour "",""labels"":[""NOUN""]},{""start"":60,""end"":63,""text"":""कर "",""labels"":[""VERB""]},{""start"":63,""end"":71,""text"":""पायेंगे "",""labels"":[""VERB""]},{""start"":71,""end"":72,""text"":""।"",""labels"":[""X""]}]",117.79499999999999,"अब, आप, घर बैठे दिल्ली के National Museum galleries का tour कर पायेंगे ।","2025-01-23T17:10:29.665601Z"
10,"1","2025-01-23T17:17:39.381836Z",349,"[{""start"":0,""end"":11,""text"":""Technology "",""labels"":[""NOUN""]},{""start"":11,""end"":14,""text"":""के "",""labels"":[""ADP""]},{""start"":14,""end"":19,""text"":""ज़रिये"",""labels"":[""NOUN""]},{""start"":19,""end"":20,""text"":"","",""labels"":[""X""]},{""start"":21,""end"":24,""text"":""मैं"",""labels"":[""PRON""]},{""start"":24,""end"":25,""text"":"","",""labels"":[""X""]},{""start"":26,""end"":38,""text"":""IIT-Guwahati"",""labels"":[""PROPN""]},{""start"":38,""end"":39,""text"":"","",""labels"":[""X""]},{""start"":40,""end"":49,""text"":""IIT-Delhi"",""labels"":[""PROPN""]},{""start"":49,""end"":50,""text"":"","",""labels"":[""X""]},{""start"":51,""end"":60,""text"":""गाँधीनगर "",""labels"":[""PROPN""]},{""start"":60,""end"":62,""text"":""की"",""labels"":[""ADP""]},{""start"":63,""end"":72,""text"":""Deendayal"",""labels"":[""PROPN""]},{""start"":73,""end"":82,""text"":""Petroleum"",""labels"":[""PROPN""]},{""start"":83,""end"":93,""text"":""University"",""labels"":[""PROPN""]},{""start"":93,""end"":94,""text"":"","",""labels"":[""X""]},{""start"":95,""end"":102,""text"":""दिल्ली "",""labels"":[""PROPN""]},{""start"":102,""end"":105,""text"":""की "",""labels"":[""ADP""]},{""start"":105,""end"":108,""text"":""JNU"",""labels"":[""PROPN""]},{""start"":108,""end"":109,""text"":"","",""labels"":[""X""]},{""start"":110,""end"":117,""text"":""Mysore "",""labels"":[""PROPN""]},{""start"":117,""end"":128,""text"":""University "",""labels"":[""PROPN""]},{""start"":128,""end"":131,""text"":""और "",""labels"":[""CONJ""]},{""start"":131,""end"":139,""text"":""Lucknow "",""labels"":[""PROPN""]},{""start"":139,""end"":150,""text"":""University "",""labels"":[""PROPN""]},{""start"":150,""end"":153,""text"":""के "",""labels"":[""ADP""]},{""start"":153,""end"":167,""text"":""विद्यार्थियों "",""labels"":[""NOUN""]},{""start"":167,""end"":170,""text"":""से "",""labels"":[""ADP""]},{""start"":170,""end"":178,""text"":""connect "",""labels"":[""VERB""]},{""start"":178,""end"":181,""text"":""हो "",""labels"":[""VERB""]},{""start"":181,""end"":185,""text"":""पाया"",""labels"":[""VERB""]},{""start"":185,""end"":186,""text"":""।"",""labels"":[""X""]}]",216.70999999999998,"Technology के ज़रिये, मैं, IIT-Guwahati, IIT-Delhi, गाँधीनगर की Deendayal Petroleum University, दिल्ली की JNU, Mysore University और Lucknow University के विद्यार्थियों से connect हो पाया।","2025-01-23T17:17:39.381836Z"
